2N;ARN;VXO;;0;SF3
2N;HAD;VXO;;0;SF3
2N;OSL;VXO;;0;SF3
2N;VXO;ARN;;0;SF3
2N;VXO;OSL;;0;SF3
DC;BMA;VXO;;0;S20
DC;BMA;VXO;*;0;S20
DC;VXO;BMA;;0;S20
DC;VXO;BMA;*;0;S20
FR;ALC;VXO;;0;738
FR;VXO;ALC;;0;738
OV;AMS;VXO;;0;E70
OV;VXO;AMS;;0;E70
SK;HAD;VXO;*;0;SF3
SK;VXO;ARN;*;0;SF3
TF;BMA;VXO;*;0;S20
TF;VXO;BMA;*;0;S20
